Feature,Welch Test Statistic,Welch p-Value,Levene Center Strategy,Levene Test Statistic,Levene p-Value
F0semitoneFrom27.5Hz_sma3nz_amean,-2.096619065592867,0.036090664130006764,median,42.758135084690814,6.973372531338148e-11
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,1.2609171880683334,0.2074121522237582,median,27.595089969122206,1.5732833157854603e-07
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,-1.5172930078889977,0.12927217511950698,median,32.50599014915077,1.2738109445149238e-08
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,-1.1599116717293665,0.24615472108959455,median,50.105755397693216,1.7119955474489445e-12
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,-3.189844046118622,0.001434601882322145,median,38.68459028854757,5.491263280918805e-10
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,-2.236907527406506,0.02534771458655103,median,17.984981367513534,2.2767706252468126e-05
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.6581491712403472,0.5104803021490603,median,3.5990651296979954,0.057883870549953274
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,1.6886450933615376,0.09136535560408258,median,0.1764507202359124,0.6744638585716067
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.025297527589146263,0.9798189086801059,median,0.33172005857807013,0.5646803353587617
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,3.3883836021421465,0.0007099254540448445,median,5.388345268120658,0.02032158109966554
loudness_sma3_amean,6.413932682260599,1.5833612823977056e-10,median,6.025402715569636,0.01414361710713266
loudness_sma3_stddevNorm,-5.203762281493053,2.050743460691428e-07,median,4.053997645741702,0.04413357846445229
loudness_sma3_percentile20.0,6.537232856553579,7.077671951595099e-11,median,6.583753406143325,0.0103273930490966
loudness_sma3_percentile50.0,6.795966979241227,1.2351839530469854e-11,median,6.524338841429282,0.010677465072178921
loudness_sma3_percentile80.0,4.1523418439848365,3.359463553277923e-05,median,25.40317507448445,4.856789959661014e-07
loudness_sma3_pctlrange0-2,-0.19700149924380084,0.8438363595251501,median,14.696251526260005,0.00012823497220574223
loudness_sma3_meanRisingSlope,2.0415939243138976,0.04125749034552382,median,17.718563918775494,2.6172882793989242e-05
loudness_sma3_stddevRisingSlope,2.2438253366531526,0.02489801278920817,median,7.5861038556163205,0.005908527536450936
loudness_sma3_meanFallingSlope,2.454335415405215,0.014156749772094296,median,9.400489892793626,0.0021837282345824704
loudness_sma3_stddevFallingSlope,3.0618072188726626,0.002214643135499667,median,6.954838049206705,0.008391553217128776
spectralFlux_sma3_amean,3.3779111275454454,0.0007373507528153096,median,6.901133456501568,0.008646905044204749
spectralFlux_sma3_stddevNorm,-6.922616030530105,5.143654676387279e-12,median,16.461649159498307,5.058935832567021e-05
mfcc1_sma3_amean,7.160821337839547,9.496237871836958e-13,median,3.2419682425000023,0.07184949915395102
mfcc1_sma3_stddevNorm,1.3520821590723209,0.17644846183886456,median,0.03460926599935165,0.8524262105865941
mfcc2_sma3_amean,-2.7847816187818406,0.00538159946633084,median,0.009289724172260322,0.9232210399835543
mfcc2_sma3_stddevNorm,-0.3541480337367463,0.7232588267078208,median,6.540849314193204,0.010578980658223054
mfcc3_sma3_amean,-3.7410421824903732,0.0001858232102217283,median,3.7067249767287116,0.054264289358792024
mfcc3_sma3_stddevNorm,-0.05544152015652912,0.9557901859833259,median,3.8172156540834226,0.05079791819856101
mfcc4_sma3_amean,-3.1016294536837914,0.0019381376946226928,median,32.280639934008434,1.4291046827946286e-08
mfcc4_sma3_stddevNorm,0.338683937716059,0.7348819348804714,median,2.1917368213860713,0.13883135903578528
jitterLocal_sma3nz_amean,1.485680393988514,0.13744462285774642,median,0.5100078777086576,0.4751770220290771
jitterLocal_sma3nz_stddevNorm,5.856108291342527,5.118962303019126e-09,median,1.464492400999402,0.2262880301810934
shimmerLocaldB_sma3nz_amean,0.17799782024265676,0.8587336925096458,median,17.78484629821982,2.52806068351862e-05
shimmerLocaldB_sma3nz_stddevNorm,3.943821693596694,8.156378977010385e-05,median,3.8686338469461474,0.049265417811391994
HNRdBACF_sma3nz_amean,-1.5472643369245307,0.12187889946316816,median,45.559519205795546,1.693131834155296e-11
HNRdBACF_sma3nz_stddevNorm,0.9924774619677663,0.3210858323904172,median,1.0682242795654997,0.3014092260491694
logRelF0-H1-H2_sma3nz_amean,3.0427924751527065,0.0023592054446418802,median,11.124358466593682,0.0008597617421873126
logRelF0-H1-H2_sma3nz_stddevNorm,-0.5838694422527716,0.5593421246507022,median,0.34894620809837723,0.5547435617490462
logRelF0-H1-A3_sma3nz_amean,5.591331723854965,2.403787268754665e-08,median,2.2881164992371343,0.13044686501994557
logRelF0-H1-A3_sma3nz_stddevNorm,-1.4031069232800386,0.1607278713320751,median,0.43560703474655055,0.5092883248426687
F1frequency_sma3nz_amean,-1.6337660339977473,0.10238656867527464,median,7.74267892147416,0.005418314809471355
F1frequency_sma3nz_stddevNorm,0.3029136321159619,0.7619713990018883,median,7.951926086931307,0.004827215106734556
F1bandwidth_sma3nz_amean,4.1361576477736195,3.606465420643033e-05,median,15.427209792477637,8.718725216567815e-05
F1bandwidth_sma3nz_stddevNorm,-0.8396318520468792,0.4011652841341957,median,18.083882398846626,2.1620181693243644e-05
F1amplitudeLogRelF0_sma3nz_amean,6.81132247263118,1.1140385681942385e-11,median,55.70551895838807,1.0267374202235339e-13
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.8603919753297659,0.38966067813063554,median,0.3434543158181464,0.5578750710127788
F2frequency_sma3nz_amean,-1.159402145038569,0.246363671458544,median,3.1962519922330586,0.07388274104510241
F2frequency_sma3nz_stddevNorm,2.9083619020470777,0.0036532370740525464,median,9.460434993389127,0.0021136656688806555
F2bandwidth_sma3nz_amean,4.046341160254556,5.3015471269946014e-05,median,10.267340434121898,0.001364671893033715
F2bandwidth_sma3nz_stddevNorm,0.2623484799950557,0.7930662768901668,median,15.40383169665926,8.826834758758014e-05
F2amplitudeLogRelF0_sma3nz_amean,6.362039115890739,2.2200760671667654e-10,median,56.0139677268135,8.795447714384596e-14
F2amplitudeLogRelF0_sma3nz_stddevNorm,-1.098961199941645,0.2718861243524972,median,5.226910680237187,0.02229192558669284
F3frequency_sma3nz_amean,-1.2607497469122653,0.2074796763455973,median,5.685943936068993,0.017147566956891472
F3frequency_sma3nz_stddevNorm,4.3900018216760905,1.1627096637042976e-05,median,4.177598986190268,0.04102690684622833
F3bandwidth_sma3nz_amean,6.418469010924149,1.5369038463338727e-10,median,4.479280483216852,0.03436962188570662
F3bandwidth_sma3nz_stddevNorm,-2.1799005923150037,0.029323878942041984,median,56.71275009387754,6.195211697763851e-14
F3amplitudeLogRelF0_sma3nz_amean,5.633110107154031,1.894919137731861e-08,median,65.16161060557268,9.038421326476772e-16
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.94218609658879,0.3461993737339911,median,2.3897236110693556,0.12221415057030575
alphaRatioV_sma3nz_amean,0.007727773455816647,0.9938345747403887,median,10.38483828921405,0.001280713638831827
alphaRatioV_sma3nz_stddevNorm,-1.3832652229026954,0.16673471546003343,median,0.3958880249022181,0.5292563800983514
hammarbergIndexV_sma3nz_amean,1.9664079613132777,0.049320464695803874,median,21.28438828070089,4.083087880492427e-06
hammarbergIndexV_sma3nz_stddevNorm,0.33800536991467955,0.7353793406536114,median,2.9993554307890813,0.08337457163722047
slopeV0-500_sma3nz_amean,4.942377326591359,8.033231995300674e-07,median,37.04171607916028,1.2646579418751014e-09
slopeV0-500_sma3nz_stddevNorm,-0.5757776307157852,0.5648044747326612,median,0.0010128822787212,0.9746125467168727
slopeV500-1500_sma3nz_amean,-3.467657373811072,0.0005305493100107084,median,6.015749852369375,0.01422106756609021
slopeV500-1500_sma3nz_stddevNorm,0.816910213255697,0.41404496044129624,median,0.00013399105292810835,0.9907649090353531
spectralFluxV_sma3nz_amean,1.2699027782832417,0.2041932862923964,median,14.696929778149894,0.0001281890119662098
spectralFluxV_sma3nz_stddevNorm,-1.7044918484023628,0.08836687031562054,median,13.317643137954832,0.00026626900937744426
mfcc1V_sma3nz_amean,7.096292129917898,1.5084184861661659e-12,median,14.134493578060555,0.00017261949353235685
mfcc1V_sma3nz_stddevNorm,0.12885736881078522,0.8974814869397234,median,3.352761240415707,0.06716656128344253
mfcc2V_sma3nz_amean,-2.7106733101410407,0.0067432748743763435,median,4.819142177247926,0.02820247561361244
mfcc2V_sma3nz_stddevNorm,-1.6410283930448915,0.10088127299199318,median,0.7639266188692697,0.3821548369458323
mfcc3V_sma3nz_amean,-3.8076212239912377,0.00014240817505316034,median,7.819914968668355,0.005191985052294107
mfcc3V_sma3nz_stddevNorm,0.5477116026897361,0.5839308186175923,median,0.12251073302620162,0.7263455775900591
mfcc4V_sma3nz_amean,-1.8476097798657534,0.06473308615894745,median,37.352548351842486,1.079905692933159e-09
mfcc4V_sma3nz_stddevNorm,-0.7740746032070626,0.4389525742835021,median,1.5569187879598922,0.2121898157952559
alphaRatioUV_sma3nz_amean,2.5625702274775426,0.010426418680170843,median,0.3692685867091076,0.5434376402897416
hammarbergIndexUV_sma3nz_amean,-1.5941667968467839,0.11097758457884455,median,5.911813569110333,0.015083210569158819
slopeUV0-500_sma3nz_amean,8.212539341947599,2.9028132728929167e-16,median,10.976437699334747,0.0009309620456037542
slopeUV500-1500_sma3nz_amean,-1.7543285624845644,0.07945240581973875,median,11.188284322850489,0.000830720320747721
spectralFluxUV_sma3nz_amean,-0.2891523133626139,0.7724798544859307,median,1.4656818776425045,0.22609960178825173
loudnessPeaksPerSec,1.7136081166556003,0.08667844719058372,median,9.437722765041677,0.0021399388428536086
VoicedSegmentsPerSec,-1.62791306324051,0.10362262429936882,median,1.024014304182906,0.31162976283256605
MeanVoicedSegmentLengthSec,3.320126977045312,0.0009079489912484905,median,1.102666039214875,0.2937450584963804
StddevVoicedSegmentLengthSec,7.994695556068026,1.7287624642463882e-15,median,47.722700409572916,5.6858915099871244e-12
MeanUnvoicedSegmentLength,-1.8429472980459027,0.0654104998880632,median,12.321269654782624,0.00045275438736595055
StddevUnvoicedSegmentLength,2.155430141068554,0.031189206767975604,median,4.67866382548919,0.030598417906780116
equivalentSoundLevel_dBp,1.2613812901135768,0.20724497870922792,median,3.9351590783324104,0.047354770746180455
